mean_cap	var_cap	max_cap	min_cap	mean_n_loc	var_n_loc	max_n_loc	min_n_loc	mean_n_link	var_n_link	max_n_link	min_n_link	mean_n_contacts	var_n_contacts	max_n_contacts	min_n_contacts	mean_n_steps	var_n_steps	max_n_steps	min_n_steps	mean_freq_plan	var_freq_plan	max_freq_plan	min_freq_plan	mean_acc_c	var_acc_c	max_acc_c	min_acc_c	mean_acc_l	var_acc_l	max_acc_l	min_acc_l	mean_n_plan	var_n_plan	max_n_plan	min_n_plan	mean_acc_c_m	var_acc_c_m	max_acc_c_m	min_acc_c_m	mean_acc_l_m	var_acc_l_m	max_acc_l_m	min_acc_l_m	mean_n_loc_m	var_n_loc_m	max_n_loc_m	min_n_loc_m	mean_n_link_m	var_n_link_m	max_n_link_m	min_n_link_m	mean_count	var_count	max_count	min_count	mean_traffic	var_traffic	max_traffic	min_traffic	mean_N	var_N	max_N	min_N	n_migrants	n_arrived	n_dead	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.6923076923076923	0.23076923076923075	1.0	0.0	0.9465626535322185	0.0006973934984736788	0.9841448169513572	0.8847270277233739	0.997466391895865	8.344921032943375e-5	1.0	0.9670630946462443	10.153846153846153	6.307692307692302	14.0	6.0	14.615384615384615	24.423076923076906	23.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13253012048192772	0.33588010578900973	4.0	0.0	13	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.6296296296296297	0.24216524216524216	1.0	0.0	0.9417454963484345	0.000596525723914682	0.9841448169513572	0.8847270277233739	1.0008250876196856	0.00016592950331661117	1.055053738963378	0.9670630946462443	12.0	15.923076923076923	22.0	6.0	14.037037037037036	29.80626780626779	26.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20481927710843373	0.8721716132823978	6.0	0.0	27	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.8222222222222222	0.14949494949494954	1.0	0.0	0.9382556572159256	0.001424930317226337	1.0	0.806611248801028	0.9907475769132134	0.001645420180455336	1.1108879463836303	0.8679215145405744	13.422222222222222	20.249494949494956	24.0	5.0	13.555555555555555	28.52525252525253	26.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3253012048192771	1.6367910667058476	7.0	0.0	45	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.7777777777777778	0.1756272401433691	1.0	0.0	0.9383242435412578	0.001006511591190398	1.0	0.8612719419897445	0.9975903815822071	0.008478521198669922	1.3538895533932562	0.8196327425829907	15.587301587301587	42.472094214029696	38.0	7.0	14.587301587301587	35.56886840757808	33.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3132530120481928	1.5592124595944756	7.0	0.0	63	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.8409090909090909	0.13531870428422152	1.0	0.0	0.9354834708968699	0.0008856031786130405	1.0	0.8328911118710702	1.0183771747137966	0.03378057617135647	2.3200383893986007	0.7911691315692646	17.681818181818183	62.127481713688596	43.0	7.0	15.522727272727273	41.1489028213166	38.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5301204819277109	3.1545694975022043	10.0	0.0	88	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.9322033898305084	0.5423728813559322	5.0	0.0	0.9303096598319341	0.0006879340366809244	1.0	0.845209027005516	1.067665804669512	0.16571664219867419	4.302682360690107	0.663561125908243	21.016949152542374	90.18774445893092	44.0	7.0	17.338983050847457	57.525133999710256	41.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6746987951807228	4.1002057008521895	11.0	0.0	118	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.9864864864864865	0.5032175032175031	4.0	0.0	0.9278509612638718	0.0009134359362429232	1.0	0.7904596016724427	1.0981440546306651	0.1819121382342155	3.224921801563024	0.663561125908243	23.972972972972972	118.97885640742784	57.0	7.0	19.08108108108108	90.93215664644235	71.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7228915662650602	4.2759330002938585	9.0	0.0	148	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.9248554913294798	0.4885065196935071	4.0	0.0	0.9243651021823595	0.0006117818252107884	1.0	0.8173411856405778	1.1650781399805397	0.3022099192502442	3.905922741527493	0.6720779645469942	27.6878612716763	144.73921225971233	57.0	4.0	21.44508670520231	137.37632746336877	73.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.891566265060241	5.536879224213929	11.0	0.0	173	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.8826530612244898	0.6066718995290423	6.0	0.0	0.9208705686642995	0.0005262281042882058	1.0	0.8364416063096993	1.1468943734352315	0.2385083880177216	3.905922741527493	0.5579122181848652	30.974489795918366	204.85575614861327	74.0	4.0	24.520408163265305	261.89188906331765	106.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	6.536585365853658	11.0	0.0	196	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	1.1719457013574661	1.788482106129165	8.0	0.0	0.9190782447631233	0.000538973594969925	1.0	0.806832100788777	1.1520490035222841	0.2232108326727337	3.905922741527493	0.5579122181848652	35.588235294117645	270.779679144385	79.0	4.0	30.09502262443439	617.1863842040312	164.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2048192771084338	9.677049662062887	16.0	0.0	221	0	0	
