mean_cap	var_cap	max_cap	min_cap	mean_n_loc	var_n_loc	max_n_loc	min_n_loc	mean_n_link	var_n_link	max_n_link	min_n_link	mean_n_contacts	var_n_contacts	max_n_contacts	min_n_contacts	mean_n_steps	var_n_steps	max_n_steps	min_n_steps	mean_freq_plan	var_freq_plan	max_freq_plan	min_freq_plan	mean_acc_c	var_acc_c	max_acc_c	min_acc_c	mean_acc_l	var_acc_l	max_acc_l	min_acc_l	mean_n_plan	var_n_plan	max_n_plan	min_n_plan	mean_acc_c_m	var_acc_c_m	max_acc_c_m	min_acc_c_m	mean_acc_l_m	var_acc_l_m	max_acc_l_m	min_acc_l_m	mean_n_loc_m	var_n_loc_m	max_n_loc_m	min_n_loc_m	mean_n_link_m	var_n_link_m	max_n_link_m	min_n_link_m	mean_count	var_count	max_count	min_count	mean_traffic	var_traffic	max_traffic	min_traffic	mean_N	var_N	max_N	min_N	n_migrants	n_arrived	n_dead	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.7142857142857143	0.21978021978021975	1.0	0.0	0.9364210271268921	0.0014139758551465593	1.0	0.8872885404675398	0.9677716738308385	0.004852533887310337	1.0	0.7922105843189352	13.0	27.076923076923077	25.0	8.0	14.571428571428571	40.26373626373628	29.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14457831325301204	0.3446958565971202	3.0	0.0	14	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.78125	0.17641129032258066	1.0	0.0	0.9375075067224802	0.0009426853453351122	1.0	0.8776403629682173	0.9583747783261187	0.013397981809399268	1.3886972774640531	0.7346614109869077	17.71875	58.85383064516129	37.0	8.0	16.8125	61.51209677419355	38.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21686746987951808	0.7816632383191302	5.0	0.0	32	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	1.0943396226415094	1.433236574746009	6.0	0.0	0.9197979439761536	0.0005779829157305836	1.0	0.8669500557181408	1.066827472107398	0.0632866509634124	1.7945429119141998	0.6820266028510873	36.9811320754717	260.7496371552974	63.0	6.0	34.9811320754717	380.51886792452837	76.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3132530120481928	1.2421392888627683	6.0	0.0	53	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	2.2941176470588234	6.479367866549605	10.0	0.0	0.9204907403325004	0.0002708511193240463	1.0	0.8814779004260412	1.4259793198808592	0.1688827429294143	2.326336480529732	0.712913521841329	57.720588235294116	359.07001755926274	80.0	5.0	79.69117647058823	1883.5897717295873	168.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3253012048192771	1.5148398471936526	8.0	0.0	68	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	3.0121951219512195	6.01219512195122	10.0	0.0	0.9217229073718018	0.0001659409662842305	0.9463423646839364	0.8849938089102513	1.8233777931416864	0.17441623201519202	2.867339739861596	0.8869826274681183	72.10975609756098	167.9507678410119	83.0	11.0	151.0731707317073	4348.735320686541	280.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3253012048192771	0.880693505730238	5.0	0.0	82	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	3.376237623762376	5.297029702970296	10.0	0.0	0.9301116993465263	0.0001518244763282439	0.9502016748188029	0.8937225669819097	2.2105545157252604	0.20500306129940782	3.8473218810021335	0.9919115924741466	79.06930693069307	48.22514851485146	83.0	46.0	247.98019801980197	6654.779603960393	366.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3614457831325301	1.160446664707611	5.0	0.0	101	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	3.2975206611570247	4.2440771349862265	10.0	0.0	0.9366260343507751	0.00013185019049082313	0.9591542312063641	0.8886614483529378	2.378267319393535	0.14081299292426383	3.250677660630171	0.9919115924741466	78.9090909090909	132.21666666666667	83.0	8.0	317.9917355371901	9630.924931129472	426.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5542168674698795	2.4208051719071406	8.0	0.0	121	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	3.4125874125874125	3.7229390327981884	10.0	0.0	0.9414552781234493	9.446032617562919e-5	0.9812842679763023	0.9130996049470648	2.5642022671321896	0.1880065492366932	6.145314500515462	0.9838535787501403	80.51748251748252	103.78666404018533	83.0	8.0	386.13286713286715	7748.144193834323	451.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5903614457831325	2.5374669409344697	7.0	0.0	143	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	3.51875	2.943042452830188	10.0	0.0	0.9431032323811724	0.00017949135097292387	0.957461984415383	0.8401177915894773	2.6166732174054372	0.0924449898606721	3.487186453144621	1.0	81.0875	88.55833333333275	83.0	8.0	421.3	6135.922012578626	464.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7349397590361446	4.026447252424331	11.0	0.0	160	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	3.5604395604395602	2.5571003582053313	10.0	0.0	0.9454694208232951	6.190851551157604e-5	0.9568628108242472	0.9087738420661288	2.7068828164326044	0.07590789106142343	4.0473266939663475	1.0	81.86813186813187	38.7670451095868	83.0	11.0	442.4230769230769	3802.2896302592276	474.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9156626506024096	6.9074346165148395	14.0	0.0	182	0	0	
