0	0	0	0	111
0	0	0	0	112
0	0	0	0	113
0	0	0	1	111
0	0	0	1	112
0	0	0	1	113
0	0	1	0	111
0	0	1	0	112
0	0	1	0	113
0	0	1	1	111
0	0	1	1	112
0	0	1	1	113
0	1	0	0	111
0	1	0	0	112
0	1	0	0	113
0	1	0	1	111
0	1	0	1	112
0	1	0	1	113
0	1	1	0	111
0	1	1	0	112
0	1	1	0	113
0	1	1	1	111
0	1	1	1	112
0	1	1	1	113
1	0	0	0	111
1	0	0	0	112
1	0	0	0	113
1	0	0	1	111
1	0	0	1	112
1	0	0	1	113
1	0	1	0	111
1	0	1	0	112
1	0	1	0	113
1	0	1	1	111
1	0	1	1	112
1	0	1	1	113
1	1	0	0	111
1	1	0	0	112
1	1	0	0	113
1	1	0	1	111
1	1	0	1	112
1	1	0	1	113
1	1	1	0	111
1	1	1	0	112
1	1	1	0	113
1	1	1	1	111
1	1	1	1	112
1	1	1	1	113
